key,value
candidates.lumi.keyAchievement,"NBA star turned athlete advocate. Transformed Nigeria Olympians Association and founded youth development initiatives, independently and with partners, reaching over 45,000 young people across 30+ cities in 20+ countries."
candidates.lumi.philosophy,"Athlete-First Leadership. Understanding the billion-dollar business of professional sport to better protect athlete welfare, retirement, and image rights."
candidates.lumi.business,"Chairman & CEO: Legendary Venture and Lume Global Consultancy (200+ employees, including 6 Olympians and 20+ former athletes). Founder & President: Olumide Oyedeji Youth Foundation (2000–Present). President & CEO: Hoops & Read Basketball Club (Nigeria Premier League). President: Dolphins Basketball Club of Lagos."
candidates.lumi.achievements[0],First African player drafted outside America to the NBA (2000)
candidates.lumi.achievements[1],"NBA Player (Seattle SuperSonics, Orlando Magic, Atlanta Hawks)"
candidates.lumi.achievements[2],Led Nigeria to first-ever Gold Medal in Basketball at 2011 All Africa Games
candidates.lumi.achievements[3],Led Nigeria to first-ever AfroBasket Gold (2015) & first Olympic appearance (2012)
candidates.lumi.achievements[4],Team Nigeria Captain (2006–2016)
candidates.lumi.achievements[5],"Only African to compete in ALL major tournaments: Olympics, World Cup, NBA, EuroLeague, Commonwealth Games, All Africa Games"
candidates.lumi.achievements[6],"MVP awards in German, Korean, Chinese & Nigerian leagues"
candidates.lumi.achievements[7],Played professionally in 18 countries across 4 continents over 2 decades
candidates.lumi.governance[0],Vice President: Nigeria Olympic Committee
candidates.lumi.governance[1],President: Nigeria Olympians Association
candidates.lumi.governance[2],Chairman: Nigeria Athlete Commission
candidates.lumi.governance[3],President: West Africa Basketball
candidates.lumi.governance[4],BAL Ambassador
candidates.lumi.governance[5],NBA Africa Ambassador
candidates.lumi.governance[6],Laureus Global Ambassador
candidates.lumi.governance[7],Former Executive Member: FIBA Players' Commission
candidates.lumi.governance[8],Vice Chairman: FIBA Zone 3 Development Council
candidates.lumi.governance[9],Board Member: Nigeria Basketball Federation
candidates.lumi.governance[10],President: Sports For All Commission NOC
candidates.lumi.bioFull,"Olumide ""Lumi"" Oyedeji is one of the most decorated basketball players in African history and a true Renaissance man. Not only a legendary professional athlete, but also a Career and Motivational Speaker, Sports Administrator, Guidance & Counselor expert, Performance Management specialist, Leadership & Management professional, Psychologist, and well-renowned Philanthropist.

The first African player ever drafted outside America to the NBA (2000), he made history as the only African to compete in ALL major basketball tournaments worldwide—Olympics, World Cup, NBA, EuroLeague, Commonwealth Games, and All Africa Games. His remarkable career spanned over two decades (1996–2016), playing professionally in 18 countries across 4 continents with different cultural backgrounds, giving him a unique understanding of the needs of Olympians on every continent.

As Team Nigeria Captain from 2006–2016, he led Nigeria to their first-ever Gold Medal in Basketball at the 2011 All Africa Games in Mozambique, their first-ever AfroBasket Gold in Tunisia 2015, and their first Olympic appearance at London 2012. His international career includes 9 FIBA Africa Championships, 5 All Africa Games (Gold 2011, Silver 2003, Bronze 1999/2007/2015), and championships in Spain, Italy, Greece, UK, Russia, Germany, Japan, South Korea, China, Jordan, Slovenia, Kuwait, and Puerto Rico. He earned MVP honours in the German, Korean, Chinese, and Nigerian leagues.

Beyond sport, he is Chairman & CEO of Legendary Venture and Lume Global Consultancy, employing over 200 people including 6 Olympians and 20+ former athletes. Now based in Lagos, he serves as Vice President of the Nigeria Olympic Committee, President of the Nigeria Olympians Association, Chairman of the WOA Job Committee, and President of West Africa Basketball.

As President of the Nigeria Olympians Association, he transformed the organization through comprehensive rebranding, secured insurance benefits for Olympians, established the Olympians Village and recreation center with hectares of land, achieved NOA inclusion as a full Executive Committee member of the Nigeria Olympic Committee, and established the Olympians Trust Fund. His leadership philosophy centers on rewarding, supporting, and celebrating Olympians while promoting their inclusion in decision making.

A BAL Ambassador, NBA Africa Ambassador, and Laureus Global Ambassador, his foundation has mentored over 45,000 young people across 30+ cities in 20+ countries since 2000. Through Hoops & Read Basketball Club, he has produced 2 NBA players, 45 college players, and 20+ professionals in Europe, Asia, and South America."
candidates.lumi.manifesto,"I am honored to offer myself as a candidate for Secretary General of the World Olympians Association, guided by gratitude, humility, and a strong sense of purpose. At the London 2012 Olympic Games, I experienced what it truly means to be an Olympian: belonging to a global family that lifts each of us higher than we could ever rise alone. That moment continues to shape my commitment to serve.

Competing and working across six continents has shown me that while cultures and circumstances differ, the Olympic spirit unites us. I have listened to NOAs with strong structures and resources, and to others struggling simply to remain active. I have spoken with Olympians eager to mentor youth, support their communities, protect their wellbeing, and build meaningful lives after sport, but who often need clearer pathways and practical support. These voices guide my desire to serve every Olympian and every NOA.

Our focus must now be on delivery. We will hire additional Development Officers to strengthen continental and regional support. We will raise more funding to expand NOA grant programmes so more associations can deliver real impact. We will convene Continental Olympians Forums every year to share knowledge, strengthen networks, and build leadership. We will also advocate for stronger post-Games support for Olympians, including access to health insurance and long-term protection of their rights.

If entrusted with this responsibility, I will serve with empathy, integrity, and commitment, helping to build a future worthy of the legacy we carry together."
candidates.thomas.name,"Thomas Tang, OLY"
candidates.thomas.role,For Treasurer
candidates.thomas.sport,Alpine Skiing
candidates.thomas.country,Chinese Taipei
candidates.thomas.location,"Taipei, with residences in Park City (Utah), Portland (Oregon), Hong Kong & Guinea-Bissau"
candidates.thomas.keyAchievement,Business and Technology Wizard. Built a global tech company from scratch powering Olympic Games and FIFA World Cup broadcasts worldwide. Active in winter sports development.
candidates.thomas.business,"Founder & President: Apantac LLC (Global leader in broadcast & ProAV, HQ in Beaverton, Oregon with offices in Paris, Taipei, Tokyo, Singapore & Mexico City). President: Eubank Investment Group."
candidates.thomas.trackRecord,"Founded Apantac in his basement in 2008. Won prestigious PICK HIT AWARD at NAB 2009 and multiple ""Best of Show"" awards. By 2014: 200+ products distributed in 40+ countries. Technology powers Olympic Games broadcasts, Soccer World Cups, and national broadcasters worldwide. Prior experience: VP at Avitech International (grew business 8x), Director of Marketing at Philips Electronics Broadcast Division ($50M P&L responsibility), Asia Pacific Area Director at Vizrt, worked on F-14/F-16 flight simulators and NASA Space Shuttle training systems at Evans & Sutherland. Holds 6 patents and published works in laser spectroscopy, virtual production, and AV technology."
candidates.thomas.achievements[0],"Two-time Winter Olympian (Calgary 1988, Albertville 1992)"
candidates.thomas.achievements[1],Alpine World Championships Competitor (1989)
candidates.thomas.achievements[2],Alpine World Cup Competitor (1989)
candidates.thomas.achievements[3],Chinese Taipei National Ski Team (1987–1992)
candidates.thomas.governance[0],Secretary General: Guinea-Bissau Winter Sports Federation (2023–Present)
candidates.thomas.governance[1],President & CEO: Apantac LLC (2008–Present)
candidates.thomas.governance[2],President: Eubank Investment Group (2012–Present)
candidates.thomas.governance[3],"President: Anextus Trading & Export, Guinea-Bissau (2024–Present)"
candidates.thomas.governance[4],Board Member: Taiwanese American Chamber of Commerce (2023–Present)
candidates.thomas.governance[5],Director of International Affairs: Chinese Taipei Olympians Association
candidates.thomas.education[0],Harvard Business School - Executive Education (Marketing & Business Strategy)
candidates.thomas.education[1],"Westminster College - M.S., Computer Science"
candidates.thomas.education[2],"University of Utah - M.S., Applied Physics"
candidates.thomas.education[3],"University of Utah - B.S., Physics"
candidates.thomas.manifesto,"As part of a strong leadership team alongside Pernilla Wiberg and Olumide Oyedeji, I am running for Treasurer of the World Olympians Association with a clear mission to safeguard WOA's financial integrity, strengthen its long-term sustainability, and ensure Olympians benefit from transparent, accountable, and impactful resource management.

[My professional background](https://app.box.com/s/5xdpz83s6jj72m7z4ozbp4ts601bsj2a) spans more than 30 years of executive leadership across international business, technology, and nonprofit development. I have managed multimillion-dollar budgets, built successful global organizations, and implemented robust financial systems grounded in responsibility and trust. I will bring these same principles to serve the WOA.

I will prioritize financial transparency and accountability through clear reporting standards, continued independent audits, and open communication so every NOA can clearly understand how WOA resources are utilized. I will also focus on securing sustainable funding and building long-term partnerships that honor Olympic values while ensuring WOA remains financially strong and independent. Collaboration with the IOC is essential for alignment and shared purpose, yet WOA must always preserve its autonomy and its ability to advocate for Olympians with clarity and neutrality.

My commitment extends to service at the community level, where the heart of the Olympian movement truly lives. I will work to ensure more resources reach grassroots initiatives, supporting education, health, career transition, and youth programs, while giving special attention to smaller NOAs and developing nations to ensure equitable access and meaningful impact.

As Treasurer, I will serve with integrity, discipline, and unwavering dedication, strengthening the WOA and empowering Olympians for generations to come."
candidates.thomas.bioFull,"Thomas Tang combines Olympic grit with Silicon Valley innovation. A two-time Winter Olympian for Chinese Taipei who competed at World Championships and World Cups, he now serves as Chef de Mission for Guinea-Bissau at the 2026 Milano-Cortina Olympics and Secretary General of their Winter Sports Federation—driving the introduction of winter sports in a tropical nation, securing FIS membership, and establishing athlete development programs. His Olympic legacy is a family affair—his daughter competed at Figure Skating at an international level, and his sons have qualified for the 2022 and 2026 Olympics in Alpine Skiing.

Thomas founded Apantac in his basement during the 2008 financial crisis and built it into a global broadcast, ProAV, and openGear technology leader—winning multiple ""Best of Show"" awards including the prestigious NAB PICK HIT AWARD in 2009, and now shipping 200+ products to 40+ countries, from Greenland to New Zealand. His technology has powered Olympic broadcasts, Soccer World Cups, major professional sports leagues, and national broadcasters worldwide, and is used daily by leading social media for their event spaces.

His 30+ year career spans executive leadership across international business, technology, and nonprofit development. Prior to founding Apantac, he served as Vice President at Avitech International (2004–2008) leading global sales and product expansion in broadcast and multiviewer technologies, Director of Marketing at Philips Electronics Broadcast Division (1999–2004) directing strategy across North America and Asia-Pacific with $50M P&L responsibility, Asia Pacific Area Director at Vizrt (1997–1999) expanding market presence for broadcast graphics and real-time visualization systems, and Regional Sales Manager at Evans & Sutherland (1989–1997) where he started as a Senior Software Engineer working on F-14/F-16 flight simulators and NASA Space Shuttle training systems before advancing to regional sales.

Thomas holds patents and published works including Laser Spectroscopy (SPIE, 1987), Physical Camera Calibration with Virtual Backgrounds (1996), Dynamic Shadows in Virtual Studio Production (1997), Cascading Multiviewer Outputs via SATA (2009), Mechanical Magnetic Mounting for AV Equipment (2014), and Intelligent EDID-Based DA Output Management (2018).

He also serves as Board Member of the Taiwanese American Chamber of Commerce (2023–Present), supporting cross-Pacific business collaboration and Taiwanese entrepreneurship in North America, and as President of Eubank Investment Group (2012–Present) and Anextus Trading & Export in Guinea-Bissau (2024–Present).

With Harvard Business School executive education in Marketing & Business Strategy, an M.S. in Computer Science from Westminster College, and both an M.S. in Applied Physics and B.S. in Physics from the University of Utah, Thomas brings unmatched financial acumen and operational excellence to the WOA. Fluent in English, Mandarin, Cantonese, and Taiwanese."
